ImoNumber,VesselName,CallSign,VesselClass,NominalTeuCapacity,ReeferPlugCount,FlagCountryCode,FlagCountryName,YearBuilt,DeadweightTonnes,LoaMetres,BeamMetres,MaxDraughtMetres,ServiceSpeedKnots,FuelType,HasScrubber,EexiRating,IsOwnedTonnage,OperatorCarrierCode,VesselKey
3946413,Emerald Dawn,4RKM53,Post-Panamax,10310,1262,MT,Malta,2025,130035,296.8,42.6,13.87,23.6,VLSFO,0,C,1,MGLU,170
3752874,Evening Navigator,9BOUKU,Post-Panamax,10941,1408,HK,Hong Kong,2016,133831,317.2,43.2,13.79,23.8,Methanol Dual-Fuel,0,D,1,MGLU,171
3418569,Endless Mariner,GT4RAE,Post-Panamax,11595,625,MH,Marshall Islands,2019,117778,291.9,41.8,13.71,23.5,VLSFO,0,A,0,GCUQ,172
4563323,Northern Odyssey,JEWGXI,Post-Panamax,8798,706,HK,Hong Kong,2016,102604,311.5,41.4,13.87,24.0,MGO,0,B,0,BVUE,173
6460903,Northern Bridge,4X4XHV,Post-Panamax,9076,960,MH,Marshall Islands,2001,122630,300.0,44.2,13.15,23.7,LNG Dual-Fuel,0,D,0,RCAH,174
4893651,Steady Trader,N0A4VM,Post-Panamax,9804,1070,MH,Marshall Islands,2021,119217,316.9,43.4,13.73,23.7,VLSFO,1,A,1,MGLU,175
2668038,Noble Wave,WH83W9,Post-Panamax,11945,1061,SG,Singapore,2007,128221,301.3,40.6,13.82,23.4,LNG Dual-Fuel,0,E,0,MAEU,176
7170713,Silver Current,OROA11,Post-Panamax,9491,1198,LR,Liberia,2011,118396,305.5,40.8,13.89,23.9,VLSFO,0,B,0,BVUE,177
6753506,Pacific Zenith,WHTAFW,Post-Panamax,11816,1716,MT,Malta,2005,121283,313.4,40.1,13.64,23.1,VLSFO,0,D,0,HWFT,178
3857349,Western Zenith,8G11RE,Post-Panamax,10657,1484,CY,Cyprus,1998,129647,312.5,43.3,13.66,23.9,VLSFO,0,E,1,MGLU,179
4294570,Noble Voyager,F17TF5,Post-Panamax,8721,1278,SG,Singapore,2005,114343,317.0,42.6,13.66,23.2,VLSFO,0,C,1,MGLU,180
6876138,Radiant Endeavour,NV3ZNN,Post-Panamax,9204,497,BS,Bahamas,2011,93979,313.6,43.6,13.01,23.4,VLSFO,0,C,0,MGLU,181
4979431,Emerald Discovery,95OTDZ,Post-Panamax,10882,900,MT,Malta,1999,116599,312.4,40.9,13.3,23.3,MGO,0,D,0,YMLU,182
8707549,Sapphire Endeavour,3ALIYE,Post-Panamax,9004,992,PA,Panama,2015,90273,305.5,44.0,13.1,23.6,MGO,0,B,1,MGLU,183
4170281,Majestic Harbour,VSD1I1,Post-Panamax,9296,613,HK,Hong Kong,2007,98134,313.8,41.8,13.4,23.4,VLSFO,1,E,0,HMSS,184
1666954,Sapphire Trader,I7VVS9,Post-Panamax,8646,913,CY,Cyprus,2011,115136,315.1,42.8,13.63,23.9,VLSFO,1,B,0,EGLV,185
9610274,Emerald Harbour,4W3KTP,Neo-Panamax,13332,1910,CY,Cyprus,2000,161552,345.7,49.6,14.03,23.5,VLSFO,0,C,0,NSBB,186
4266779,Steady Bridge,EJ90Y2,Neo-Panamax,13624,1033,MH,Marshall Islands,2014,151280,337.8,50.0,14.51,23.4,VLSFO,0,D,0,GCUQ,187
3049590,Eastern Star,GINC34,Neo-Panamax,15173,2258,HK,Hong Kong,2020,176969,323.2,49.5,14.15,23.7,VLSFO,0,A,0,ONEY,188
9874715,Royal Wave,2Z7CAQ,Neo-Panamax,15106,1312,SG,Singapore,2013,188194,338.0,49.4,14.75,23.3,VLSFO,0,D,0,WHLC,189
1042641,Eastern Legacy,YSQWMR,Neo-Panamax,15123,1122,SG,Singapore,2002,176268,327.1,49.6,14.11,23.2,VLSFO,1,E,1,MGLU,190
4856457,Rising Horizon,F7ZYDJ,Neo-Panamax,13575,1861,MH,Marshall Islands,2001,138984,359.0,49.2,14.7,23.1,VLSFO,0,C,1,MGLU,191
2602321,Western Explorer,RCVQA1,Neo-Panamax,14093,1317,SG,Singapore,2005,160862,345.1,50.9,14.69,23.1,VLSFO,0,E,0,BVUE,192
3590006,Bold Dawn,LKPX7X,Neo-Panamax,13611,1624,MT,Malta,2003,185846,322.0,50.4,14.52,23.9,VLSFO,0,E,0,HDMU,193
1420570,Eastern Discovery,IGMNVD,Neo-Panamax,13129,1273,SG,Singapore,2009,164156,327.0,48.8,14.19,23.7,VLSFO,0,B,1,MGLU,194
3664027,Eastern Pioneer,DPYCJI,Neo-Panamax,13511,1707,MT,Malta,2004,184263,341.7,49.0,14.24,23.1,VLSFO,1,C,0,NRNS,195
9782778,Southern Star,V3ET98,Neo-Panamax,15159,2050,PA,Panama,2020,180489,354.3,50.2,14.51,23.4,MGO,0,B,0,ONEY,196
5776379,Western Star,T1JDJ6,Neo-Panamax,14185,1149,BS,Bahamas,2003,184450,338.1,49.9,14.82,23.8,MGO,0,D,0,HLCU,197
4891354,Evening Pioneer,K20QJ2,Neo-Panamax,14312,738,BS,Bahamas,2011,184497,337.0,50.9,14.86,23.5,VLSFO,0,B,1,MGLU,198
2970728,Morning Wave,UMWH5Q,Neo-Panamax,14364,1424,BS,Bahamas,2009,177482,334.9,48.7,14.55,23.1,VLSFO,0,B,0,MSCU,199
8361656,Majestic Crossing,8RLDXL,Neo-Panamax,14266,1084,PA,Panama,2006,167330,326.0,49.0,14.98,23.3,Methanol Dual-Fuel,0,E,0,AXJE,200
7077492,Majestic Mariner,TXEH9X,Neo-Panamax,21000,1012,LR,Liberia,2000,192597,354.9,48.2,14.06,23.8,VLSFO,0,E,0,QZRM,201
5907277,Crystal Horizon,028FMB,Neo-Panamax,13568,1983,MH,Marshall Islands,2002,167177,350.1,48.3,14.56,23.2,VLSFO,0,D,0,ITIH,202
2599275,Royal Dawn,V7TH5D,Neo-Panamax,12693,1140,HK,Hong Kong,2017,137424,345.9,49.1,14.88,23.1,VLSFO,0,D,0,AAUW,203
5662619,Amber Legacy,ILWYGW,Neo-Panamax,15195,947,LR,Liberia,2008,163102,359.3,48.0,14.77,23.8,VLSFO,0,C,0,QGEB,204
8572384,Crystal Navigator,PVX3XP,Neo-Panamax,13825,1718,MT,Malta,1998,152258,359.9,49.6,14.13,23.7,VLSFO,1,D,0,AXJE,205
8761038,Royal Star,CWOSTH,Neo-Panamax,15022,1012,SG,Singapore,1998,166409,333.1,49.4,14.19,23.8,VLSFO,0,D,0,ONEY,206
6963292,Endless Navigator,9U7IUJ,Neo-Panamax,15069,1474,PA,Panama,2025,176426,344.5,49.6,14.81,23.2,VLSFO,0,A,0,ZIMU,207
4226171,Majestic Summit,51620E,Neo-Panamax,14911,1752,LR,Liberia,2016,184329,320.0,49.0,14.91,23.8,VLSFO,0,B,1,MGLU,208
8024662,Southern Trader,L6ODS5,Neo-Panamax,13142,963,PA,Panama,2022,159558,321.2,48.0,14.14,23.2,VLSFO,0,B,0,EGLV,209
5165984,Grand Crossing,X8UGNG,Neo-Panamax,13425,844,MH,Marshall Islands,2016,155013,347.3,49.1,14.47,23.1,VLSFO,1,C,0,RADR,210
3353018,Royal Passage,OJE1S2,Neo-Panamax,15862,1456,SG,Singapore,2009,217384,328.9,50.7,14.61,23.7,VLSFO,0,D,0,HWFT,211
8552607,Golden Odyssey,YESXVK,Neo-Panamax,14306,1740,SG,Singapore,2022,149112,327.9,50.8,14.33,23.6,VLSFO,1,C,0,MGLU,212
7603409,Amber Voyager,N05A38,Neo-Panamax,99999,1521,SG,Singapore,2004,149975,327.6,50.6,14.39,23.0,LNG Dual-Fuel,0,E,0,SSZX,213
4322107,Western Pioneer,XCAD6S,Neo-Panamax,12817,1131,LR,Liberia,2015,148575,351.9,50.8,14.16,23.3,VLSFO,0,B,0,YAHK,214
5396741,Bold Navigator,KWVKXS,Neo-Panamax,14564,2169,CY,Cyprus,2014,150323,333.9,50.6,14.03,23.9,VLSFO,1,D,0,JJRK,215
3006536,Bold Harbour,AKKZAF,ULCV,16177,982,MT,Malta,2014,166631,385.9,52.5,15.2,22.1,VLSFO,0,B,0,SSZX,216
2275855,Evening Mariner,9UJU5D,ULCV,19260,2104,CY,Cyprus,2016,208199,386.7,52.1,16.24,22.5,VLSFO,0,C,0,TZGS,217
2259215,Eastern Odyssey,AZ2ZLS,ULCV,17867,1637,HK,Hong Kong,1998,247680,377.2,58.1,16.97,22.6,VLSFO,0,D,0,CMDU,218
4777429,Sapphire Wave,TO9S1L,ULCV,21762,1600,LR,Liberia,2002,284914,393.4,53.8,16.12,22.5,VLSFO,0,E,0,TZGS,219
4497720,Emerald Endeavour,TE1XLZ,ULCV,20519,1824,MH,Marshall Islands,2021,278756,373.7,52.8,15.14,22.7,VLSFO,1,A,0,VJBD,220
4831976,Atlantic Harbour,3ETQJL,ULCV,16073,1131,LR,Liberia,2015,198810,387.5,59.2,16.55,22.4,VLSFO,0,B,0,GCUQ,221
7756696,Crystal Discovery,4HUZEU,ULCV,16048,2369,SG,Singapore,2009,180301,384.5,57.0,16.87,22.3,VLSFO,0,C,0,XWYU,222
2809046,Amber Summit,UPXBKA,ULCV,23278,2762,SG,Singapore,1998,265770,393.0,55.8,15.22,22.0,VLSFO,1,C,0,YAHK,223
4481161,Southern Legacy,CU056P,ULCV,16719,2099,SG,Singapore,2014,214448,387.5,60.2,15.71,22.8,VLSFO,0,C,0,RADR,224
3190351,Atlantic Frontier,A7SVVC,ULCV,23441,2880,CY,Cyprus,2008,298098,395.3,52.3,15.14,22.4,VLSFO,1,D,0,HMSS,225
6800256,Morning Odyssey,AY6T44,ULCV,18575,1449,HK,Hong Kong,2015,234620,388.3,57.4,16.23,22.4,VLSFO,0,D,1,MGLU,226
3289841,Noble Horizon,36V6NC,ULCV,16929,1896,PA,Panama,2022,198466,387.6,59.6,16.66,22.2,VLSFO,0,B,0,TODF,227
9418004,Majestic Frontier,DV0TFZ,ULCV,17284,1343,BS,Bahamas,2005,201526,384.3,54.9,15.29,22.2,VLSFO,1,E,0,OTUB,228
8150502,Atlantic Navigator,COYSYL,ULCV,17866,2437,BS,Bahamas,2018,221271,384.6,57.8,16.66,22.4,VLSFO,0,C,0,AXJE,229
9405411,Northern Passage,XH6E1H,ULCV,17476,2488,MT,Malta,2018,175361,384.2,54.2,15.25,22.8,VLSFO,0,B,0,BVUE,230
8264602,Radiant Explorer,YO022Q,ULCV,21566,2902,MT,Malta,2003,241730,397.9,60.9,15.12,22.8,VLSFO,0,D,0,PILU,231
1057191,Atlantic Bridge,YAT4N8,ULCV,18219,1859,MH,Marshall Islands,2007,228041,370.4,54.5,15.16,22.5,VLSFO,0,E,0,QZRM,232
4740713,Bright Dawn,X5B0NZ,ULCV,17664,1697,SG,Singapore,2012,187482,389.9,56.5,15.44,22.7,VLSFO,0,B,0,PILU,233
3046964,Rising Crossing,IC6UV6,ULCV,22153,2546,LR,Liberia,2023,291257,367.1,54.7,16.87,22.7,VLSFO,0,B,0,OTUB,234
6757289,Rising Explorer,O3S5OQ,ULCV,22429,1153,SG,Singapore,2017,237199,366.3,55.6,15.71,22.1,VLSFO,0,D,0,ONEY,235
9512525,Golden Trader,4ILBKS,ULCV,21836,1143,PA,Panama,2004,231393,392.8,58.0,15.0,23.0,VLSFO,0,C,0,CMDU,236
1565899,Bold Discovery,ZBBA4Q,ULCV,23715,2136,HK,Hong Kong,2025,315989,390.5,55.4,15.12,22.3,VLSFO,0,A,0,YQHP,237
9592757,Grand Summit,NLYXMG,ULCV,16783,2461,MH,Marshall Islands,2002,195125,367.7,59.6,15.11,22.5,LNG Dual-Fuel,0,E,0,XWYU,238
3608671,Crystal Star,SVPB9T,ULCV,20272,1657,HK,Hong Kong,2008,251865,377.0,60.3,16.61,22.2,VLSFO,0,B,0,BVUE,239
